;review_text;sentiment;price;service;food
0;total bill for this horrible service? over $8gs;;;;
1;these crooks actually had the nerve to charge us $69 for 3 pills;;;;
2;i checked online the pills can be had for 19 cents each! avoid hospital ers at all costs;;;;
3;i *adore* travis at the hard rock's new kelly cardenas salon!  i'm always a fan of a great blowout and no stranger to the chains that offer this service;;;;
4;however travis has taken the flawless blowout to a whole new level!;;;;
5;travis's greets you with his perfectly green swoosh in his otherwise perfectly styled black hair and a vegas-worthy rockstar outfit;;;;
6;next comes the most relaxing and incredible shampoo -- where you get a full head message that could cure even the very worst migraine in minutes --- and the scented shampoo room;;;;
7;travis has freakishly strong fingers (in a good way) and use the perfect amount of pressure;;;;
8;that was superb!  then starts the glorious blowout;;;;
9;where not one not two but three people were involved in doing the best round-brush action my hair has ever seen;;;;
10;the team of stylists clearly gets along extremely well as it's evident from the way they talk to and help one another that it's really genuine and not some corporate requirement;;;;
11;it was so much fun to be there!;;;;
12;next travis started with the flat iron;;;;
13;the way he flipped his wrist to get volume all around without over-doing it and making me look like a texas pagent girl was admirable;;;;
14;it's also worth noting that he didn't fry my hair -- something that i've had happen before with less skilled stylists;;;;
15;at the end of the blowout & style my hair was perfectly bouncey and looked terrific;;;;
16;the only thing better?  that this awesome blowout lasted for days!;;;;
17;travis i will see you every single time i'm out in vegas;;;;
18;you make me feel beauuuutiful!;;;;
19;i have to say that this office really has it together they are so organized and friendly!  dr;;;;
20;phillipp is a great dentist very friendly and professional;;;;
21;the dental assistants that helped in my procedure were amazing jewel and bailey helped me to feel comfortable!  i don't have dental insurance but they have this insurance through their office you can purchase for $80 something a year and this gave me 25% off all of my dental work plus they helped me get signed up for care credit which i knew nothing about before this visit!  i highly recommend this office for the nice synergy the whole office has!;;;;
22;went in for a lunch;;;;
23;steak sandwich was delicious and the caesar salad had an absolutely delicious dressing with a perfect amount of dressing and distributed perfectly across each leaf;;;;
24;i know i'm going on about the salad;;;;
25;but it was perfect;;;;
26;drink prices were pretty good;;;;
27;the server dawn was friendly and accommodating;;;;
28;very happy with her;;;;
29;in summation a great pub experience;;;;
30;would go again!;;;;
31;today was my second out of three sessions i had paid for;;;;
32;although my first session went well i could tell meredith had a particular enjoyment for her male clients over her female;;;;
33;however i returned because she did my teeth fine and i was pleased with the results;;;;
34;when i went in today i was in the whitening room with three other gentlemen;;;;
35;my appointment started out well although being a person who is in the service industry i always attend to my female clientele first when a couple arrives;;;;
36;unbothered by those signs i waited my turn;;;;
37;she checked on me once after my original 30 minute timer to ask if i was ok;;;;
38;she attended my boyfriend on numerous occasions as well as the other men and would exit the room without even asking me or looking to see if i had any irritation;;;;
39;half way through another woman had showed up who she was explaining the deals to in the lobby;;;;
40;while she admits timers must be reset half way through the process she reset my boyfriends left rest the gentleman furthest away from me who had time to come in redeem his deal get set and gave his timer done before me then left and at this point my time was at 10 minutes;;;;
41;so she should have reset it 5 minutes ago according to her;;;;
42;while i sat there patiently this whole time with major pain in my gums i watched the time until the lamp shut off;;;;
43;not only had she reset two others explained deals to other guest but she never once checked on my time;;;;
44;when my light turned off i released the stance of my mouth to a more relaxed state assuming i was only getting a thirty minute session instead of the usual 45 because she had yet to come in;;;;
45;at this point the teeth formula was not only burning the gum she neglected for 25 minutes now but it began to burn my lips;;;;
46;i began squealing and slapping my chair trying to get her attention from the other room in a panic;;;;
47;i was in so much pain that by the time she entered the room i was already out of my chair;;;;
48;she finally then acknowledged me and asked if she could put vitamin e on my gum burn (pictured below);;;;
49;at this point she has treated two other gums burns while neglecting me and i was so irritated that i had to suffer all i wanted was to leave;;;;
50;while i waited for my boyfriend she kept harassing me about the issue;;;;
51;"saying ""well burns come with teeth whitening";;;;
52;""" while i totally agree and under justifiable circumstances would not be as irritate it could have easily been avoid if she had checked on me even a second time so i could let her know";;;;
53;not only did she never check on my physical health she couldn't even take two seconds to reset the timer which she even admitted to me;;;;
54;her accuse was that she was coming in to do it but i had the light off for a solid two minutes before i couldn't stand the pain;;;;
55;she admitted it should be reset every 15 minutes which means for 25 minutes she did not bother to help me at all;;;;
56;her guest in the lobby then proceeded to attack me as well simply because i wanted to leave after the way i was treated;;;;
57;i also expected a refund for not getting a complete session today due to the neglect and the fact i won't be returning for my last she had failed to do that;;;;
58;she was even screaming from the door and continued to until my boyfriend and i were down the steps;;;;
59;"i have never in my life been more appalled by a grown woman's behavior who claims to be in the business for ""10 years";;;;
60;""" admit your wrongs but don't make your guest feel unwelcome because you can't do you job properly";;;;
61;i'll be the first to admit that i was not excited about going to la tavolta;;;;
62;being a food snob when a group of friends suggested we go for dinner i looked online at the menu and to me there was nothing special and it seemed overpriced;;;;
63;im also not big on ordering pasta when i go out;;;;
64;alas i was outnumbered;;;;
65;thank goodness! i ordered the sea bass special;;;;
66;it was to die for;;;;
67;cooked perfectly seasoned perfectly perfect portion;;;;
68;i can not say enough good things about this dish;;;;
69;"when the server asked how it was he seemed very proud of the dish and said "" doesn't she (the chef) do an incredible job?"" she does";;;;
70;my hubby got the crab tortellini and also loved his;;;;
71;"i heard ""mmmm this is so good"" from all around the table";;;;
72;our waiter was super nice and even gave us free desserts because we were some of the last people in the restaurant;;;;
73;service was very slow and the place was packed but we had our jugs of wine and a large group with good conversation so it didn't seem to bother anyone;;;;
74;so-;;;;
75;do order the calamari and fried zucchini appetizers;;;;
76;leave out the mussels;;;;
77;if they have the sea bass special i highly recommend it;;;;
78;the chicken parm and crab tortellini were also very good and very big;;;;
79;the chicken romano was a bit bland;;;;
80;the house salads were teeny;;;;
81;do make a reservation but still expect to wait for your food;;;;
82;go with a large group of people and plan for it to be loud;;;;
83;don't go with a date unless you're fighting and don't feel like hearing anything they have to say;;;;
84;ask to sit in the side room if it's available;;;;
85;tracy dessert had a big name in hong kong and the one in first markham place has been here for many years now!;;;;
86;came in for some chinese dessert and i must say their selection has increased tremendously over the years;;;;
87;i might as well add that the price has also increased tremendously as well;;;;
88;the waitress gave us tea which i could taste had red date in it;;;;
89;fancy!;;;;
90;a simple taro with coconut with tapioca pearls was like $5;;;;
91;25 or something;;;;
92;basically all the desserts were more than $5;;;;
93;that's crazy! i can literally just make this dessert at home and for a bowl it would probably cost like $0;;;;
94;a few years ago i think i can still get it for like $3-$4 which is more reasonable but wow more than $5 is a little over the top for this dessert;;;;
95;though i must say it is tracy dessert and they are a little more on the expensive side;;;;
96;i also saw other items on the menu like fish balls chicken wings shaved ice;;;;
97;my friend got a mango drink with fresh mango in it!;;;;
98;i'm also surprised how many people come to tracy dessert after work;;;;
99;we came on a sunday and the tables were always filled;;;;
100;i think the amount of tables they had were just perfect because no one really waited for seats for a long time but the tables kept filling up once a table was finished;;;;
101;this place has gone down hill;;;;
102;clearly they have cut back on staff and food quality;;;;
103;many of the reviews were written before the menu changed;;;;
104;i've been going for years and the food quality has gone down hill;;;;
105;the service is slow & my salad which was $15 was as bad as it gets;;;;
106;it's just not worth spending the money on this place when there are so many other options;;;;
107;i was really looking forward to visiting after having some of their beers;;;;
108;"the ""man o'war"" quickly became my favorite dipa";;;;
